asn,conglomerate,org_id,org_name,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
3790,CR-ICE,@aut-3790-LACNIC,RADIOGRAFICA COSTARRICENSE,CR,Costa Rica,LACNIC,Company's website,"Hoy, RACSA es la empresa del Grupo ICE",Spanish,https://www.racsa.go.cr/somos-racsa/historia-de-racsa/,"De conformidad con los artiiculos 4 y 8 del Decreto Ley 449 y con el artiiculo 4 de la Ley 8660, el ICE es una empresa puublica organizada como institucioon autonoma y en esa condicioon está facultado para auto administrarse y disponer de sus recursos humanos, materiales y financieros de la forma que mejor lo estime para el cumplimiento de sus cometidos. (https://www.grupoice.com/wps/wcm/connect/1fd33930-f836-4e1f-92de-bfae2531a7fc/RCOSesion6135SitioGrupoICE.pdf?MOD=AJPERES)",G,,,
27725,CU-ETECSA,@aut-27725-LACNIC,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Cuba,LACNIC,Freedom House,"The Telecommunications Company of Cuba (ETECSA), the state-run telecommunications monopoly",English,https://freedomhouse.org/country/cuba/freedom-net/2019,,"G, E, W",,,
264713,CU-ETECSA,@aut-27725-LACNIC,"Empresa de Telecomunicaciones de Cuba, S.A.",CU,Cuba,LACNIC,Freedom House,"The Telecommunications Company of Cuba (ETECSA), the state-run telecommunications monopoly",English,https://freedomhouse.org/country/cuba/freedom-net/2020,,"G, E, W",,,
10569,CU-CENIA,@aut-10569-LACNIC,Red CENIAInternet,CU,Cuba,LACNIC,Company's website,"La Empresa de Tecnologias de la Información y Servicios Telematicos Avanzados, CITMATEL, fundada en el año 1999 y adscrita al Grupo Empresarial INNOMAX del Ministerio de Ciencia, Tecnologia y Medio Ambiente, está presente en el territorio nacional y tiene capacidad exportadora directa.",Spanish,http://www.ceniainternet.cu/quienes-somos,,G,,,
11960,CU-ETECSA,@aut-11960-LACNIC,EMPRESA DE TELECOMUNICACIONES DE CUBA S.A. (IXP CUBA),CU,Cuba,LACNIC,Freedom House,"The Telecommunications Company of Cuba (ETECSA), the state-run telecommunications monopoly",English,https://freedomhouse.org/country/cuba/freedom-net/2020,,C,,,
14420,EC-CNT,@family-41069,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,Ecuador,LACNIC,Company's website,"Que el Ministerio de Telecomunicaciones y de la Sociedad de la Información, en representación del Estado, es el único accionista de la Corporación Nacional de Telecomunicaciones - CNT S. A.-; y,",Spanish,https://corporativo.cnt.gob.ec/wp-content/uploads/2014/07/crea_empresa_publica_cnt_ep1.pdf,,"G, E, W",,,
26613,EC-CNT,@family-41069,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,Ecuador,LACNIC,Company's website,"Que el Ministerio de Telecomunicaciones y de la Sociedad de la Información, en representación del Estado, es el único accionista de la Corporación Nacional de Telecomunicaciones - CNT S. A.-; y,",Spanish,https://corporativo.cnt.gob.ec/wp-content/uploads/2014/07/crea_empresa_publica_cnt_ep1.pdf,,"G, E, W",,,
27757,EC-CNT,@family-41069,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,Ecuador,LACNIC,Company's website,"Que el Ministerio de Telecomunicaciones y de la Sociedad de la Información, en representación del Estado, es el único accionista de la Corporación Nacional de Telecomunicaciones - CNT S. A.-; y,",Spanish,https://corporativo.cnt.gob.ec/wp-content/uploads/2014/07/crea_empresa_publica_cnt_ep1.pdf,,"G, E, W",,,
27948,EC-CNT,@family-41069,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,Ecuador,LACNIC,Company's website,"Que el Ministerio de Telecomunicaciones y de la Sociedad de la Información, en representación del Estado, es el único accionista de la Corporación Nacional de Telecomunicaciones - CNT S. A.-; y,",Spanish,https://corporativo.cnt.gob.ec/wp-content/uploads/2014/07/crea_empresa_publica_cnt_ep1.pdf,,"G, E, W",,,
27968,EC-CNT,@family-41069,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,Ecuador,LACNIC,Company's website,"Que el Ministerio de Telecomunicaciones y de la Sociedad de la Información, en representación del Estado, es el único accionista de la Corporación Nacional de Telecomunicaciones - CNT S. A.-; y,",Spanish,https://corporativo.cnt.gob.ec/wp-content/uploads/2014/07/crea_empresa_publica_cnt_ep1.pdf,,"G, E, W",,,
28006,EC-CNT,@family-41069,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,Ecuador,LACNIC,Company's website,"Que el Ministerio de Telecomunicaciones y de la Sociedad de la Información, en representación del Estado, es el único accionista de la Corporación Nacional de Telecomunicaciones - CNT S. A.-; y,",Spanish,https://corporativo.cnt.gob.ec/wp-content/uploads/2014/07/crea_empresa_publica_cnt_ep1.pdf,,"G, E, W",,,
28011,EC-CNT,@family-41069,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,Ecuador,LACNIC,Company's website,"Que el Ministerio de Telecomunicaciones y de la Sociedad de la Información, en representación del Estado, es el único accionista de la Corporación Nacional de Telecomunicaciones - CNT S. A.-; y,",Spanish,https://corporativo.cnt.gob.ec/wp-content/uploads/2014/07/crea_empresa_publica_cnt_ep1.pdf,,"G, E, W",,,
7727,HN-HONDUTEL,@aut-7727-LACNIC,Hondutel,HN,Honduras,LACNIC,World Bank,"In addition, reforms of the state-owned Electricity Company (ENEE) and telecommunications company (HONDUTEL) are expected to generate fiscal savings of around 0.25 percent of GDP",English,http://documents.worldbank.org/curated/en/713481467999385443/pdf/99600-PGD-P155920-Box393255B-OUO-9-IDA-R2015-0292-1.pdf,,"G, W",,,
263794,HN-HONDUTEL,@aut-7727-LACNIC,Hondutel,HN,Honduras,LACNIC,World Bank,"In addition, reforms of the state-owned Electricity Company (ENEE) and telecommunications company (HONDUTEL) are expected to generate fiscal savings of around 0.25 percent of GDP",English,http://documents.worldbank.org/curated/en/713481467999385443/pdf/99600-PGD-P155920-Box393255B-OUO-9-IDA-R2015-0292-1.pdf,,"G, W",,,
27768,PY-COPACO,@aut-27866-LACNIC,CO.PA.CO.,PY,Paraguay,LACNIC,Company's website,"La Compania Paraguaya de Comunicaciones S.A. fue creada el 15 de noviembre de 2001 y comenzo a operar el 3 de diciembre del mismo ano; la misma surge de la transformacion producida de la Administracion Nacional de Telecomunicaciones – ANTELCO, por los efectos dispuestos en la Ley 1615/00 de 'Reorganización de Entidades Publicas Descentralizadas y de Reforma y Modernizacion de Organismos de la Administracion Centraln",Spanish,https://www.copaco.com.py/index.php/institucional/quienes-somos.html,,"G, E, W",,,
27866,PY-COPACO,@aut-27866-LACNIC,CO.PA.CO.,PY,Paraguay,LACNIC,Company's website,"La Compania Paraguaya de Comunicaciones S.A. fue creada el 15 de noviembre de 2001 y comenzo a operar el 3 de diciembre del mismo ano; la misma surge de la transformacion producida de la Administracion Nacional de Telecomunicaciones – ANTELCO, por los efectos dispuestos en la Ley 1615/00 de 'Reorganización de Entidades Publicas Descentralizadas y de Reforma y Modernizacion de Organismos de la Administracion Centraln",Spanish,https://www.copaco.com.py/index.php/institucional/quienes-somos.html,,"G, E, W",,,
27775,SR-TELESUR,@aut-27775-LACNIC,Telecommunicationcompany Suriname - TeleSur,SR,Suriname,LACNIC,ITU,"As opposed to the mobile market, fixed services are under a monopoly controlled by Telesur, the State-owned incumbent",English,https://www.itu.int/en/ITU-D/LDCs/Documents/2017/Country%20Profiles/Country%20Profile_Suriname.pdf,,"G, E, W",,,
263240,SR-TELESUR,@aut-27775-LACNIC,Telecommunicationcompany Suriname - TeleSur,SR,Suriname,LACNIC,ITU,"As opposed to the mobile market, fixed services are under a monopoly controlled by Telesur, the State-owned incumbent",English,https://www.itu.int/en/ITU-D/LDCs/Documents/2017/Country%20Profiles/Country%20Profile_Suriname.pdf,,"G, E, W",,,
5639,TT-TSTT,@aut-5639-LACNIC,Telecommunication Services of Trinidad and Tobago,TT,Trinidad and Tobago,LACNIC,Company's website,"Telecommunications Services of Trinidad and Tobago Limited is jointly owned by National Enterprises Limited (NEL) which in turn is majority owned by the Government of Trinidad and Tobago, and Cable & Wireless (West Indies) Limited, (C&W). NEL owns 51% of TSTT's issued share capital, while C&W holds 49%.",English,http://tstt.co.tt/corporate-history,"National Enterprises Limited (NEL) is an investment holding company incorporated on August 27, 1999 by the Government of the Republic of Trinidad & Tobago. NEL was formed to consolidate the Government’s shareholding in select state enterprises, and facilitate a public offering on the Trinidad & Tobago Stock Exchange (https://www.nel.co.tt/company-overview)","G, E, W",,,
6057,UY-ANTEL,@aut-6057-LACNIC,Administracion Nacional de Telecomunicaciones,UY,Uruguay,LACNIC,Government of Uruguay,Portal de Transparencia Presupuestaria: Empresas publicas,Spanish,https://transparenciapresupuestaria.opp.gub.uy/inicio/empresas-públicas/antel,,"G, E, W",,,
7167,UY-ANTEL,@aut-6057-LACNIC,Administracion Nacional de Telecomunicaciones,UY,Uruguay,LACNIC,Government of Uruguay,Portal de Transparencia Presupuestaria: Empresas publicas,Spanish,https://transparenciapresupuestaria.opp.gub.uy/inicio/empresas-públicas/antel,,"G, E, W",,,
27889,VE-MOVILNET,@aut-27889-LACNIC,Telecomunicaciones MOVILNET,VE,Venezuela (Bolivarian Republic of),LACNIC,Freedom House,state-owned Movilnet,English,https://freedomhouse.org/country/venezuela/freedom-net/2019,"La Compania Anonima Nacional Teléfonos de Venezuela (Cantv) y Movilnet, ente adscrito al Ministerio del Poder Popular para Ciencia y Tecnologia (Mppct), tiene como objetivo primordial fomentar el acceso de todas y todos los venezolanos a los servicios de telecomunicaciones, con un caracter social e incluyente. (https://www.cantv.com.ve/somos_cantv)",G,,,
8048,VE-CANTV,@aut-8048-LACNIC,"CANTV Servicios, Venezuela",VE,Venezuela (Bolivarian Republic of),LACNIC,Freedom House,state-owned provider CANTV represents almost 63 percent of broadband fixed subscriptions,English,https://freedomhouse.org/country/venezuela/freedom-net/2019,,"G, E, W, O",,,
10293,VE-CANTV,@aut-8048-LACNIC,"CANTV Servicios, Venezuela",VE,Venezuela (Bolivarian Republic of),LACNIC,Freedom House,state-owned provider CANTV represents almost 63 percent of broadband fixed subscriptions,English,https://freedomhouse.org/country/venezuela/freedom-net/2020,,"G, E, W, O",,,
52361,AR-ARSAT,@aut-52361-LACNIC,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,AR,Argentina,LACNIC,Argentina's ministry of state,"A través del artículo de 2º de dicha Ley, se dispuso que ARSAT, cuyas acciones pertenecen en su totalidad al Estado Nacional en la actualidad""",Spanish,https://www.argentina.gob.ar/modernizacion/setic/dgas/arsat,,W,,,
37468,AO-ANGOLA-TELECOM,ORG-AC4-AFRINIC,Angola Cables,AO,Angola,AFRINIC,Company's annual report,SHAREHOLDER: Angola Telecom 51%,English,https://www.angolacables.co.ao/wp-content/uploads/2019/02/Apresentação-da-Empresa.pdf,"E uma Empresa Publica, criada pelo Decreto N 10/92 de 06 de Marco como resultado da fusao das anteriores Empresas estatais ENATEL e EPTEL. Assim, a partir de 1980 e ate a efectiva constituicao da Angola Telecom (http://www.angolatelecom.com/QUEM_SOMOSS.aspx)",W,,,
327788,AO-ANGOLA-TELECOM,ORG-AC4-AFRINIC,Angola Cables,AO,Angola,AFRINIC,Company's annual report,SHAREHOLDER: Angola Telecom 51%,English,https://www.angolacables.co.ao/wp-content/uploads/2019/02/Apresentação-da-Empresa.pdf,"E uma Empresa Publica, criada pelo Decreto N 10/92 de 06 de Marco como resultado da fusao das anteriores Empresas estatais ENATEL e EPTEL. Assim, a partir de 1980 e ate a efectiva constituicao da Angola Telecom (http://www.angolatelecom.com/QUEM_SOMOSS.aspx)",W,,,
11259,AO-ANGOLA-TELECOM,ORG-AT1-AFRINIC,Angola Telecom,AO,Angola,AFRINIC,Company's website,"E uma Empresa Publica, criada pelo Decreto N 10/92 de 06 de Marco como resultado da fusao das anteriores Empresas estatais ENATEL e EPTEL. Assim, a partir de 1980 e ate a efectiva constituicao da Angola Telecom",Portuguese,http://www.angolatelecom.com/QUEM_SOMOSS.aspx,,"G, W",,,
37059,AO-ANGOLA-TELECOM,ORG-AT1-AFRINIC,Angola Telecom,AO,Angola,AFRINIC,Company's website,"E uma Empresa Publica, criada pelo Decreto N 10/92 de 06 de Marco como resultado da fusao das anteriores Empresas estatais ENATEL e EPTEL. Assim, a partir de 1980 e ate a efectiva constituicao da Angola Telecom",Portuguese,http://www.angolatelecom.com/QUEM_SOMOSS.aspx,,"G, W",,,
37155,AO-ANGOLA-TELECOM,ORG-NT1-AFRINIC,Angola Telecom,AO,Angola,AFRINIC,Company's website,"E uma Empresa Publica, criada pelo Decreto N 10/92 de 06 de Marco como resultado da fusao das anteriores Empresas estatais ENATEL e EPTEL. Assim, a partir de 1980 e ate a efectiva constituicao da Angola Telecom",Portuguese,http://www.angolatelecom.com/QUEM_SOMOSS.aspx,,"G, O",,,
17400,AO-MSTELECOM,ORG-PA11-AFRINIC,"MSTelcom-Mercury Servicos de Telecomunicacoes, S.A.R.L",AO,Angola,AFRINIC,Company's website,"MSTelcom - Mercury Servicos de Telecomunicacoes, SARL, e uma subsidiaria do Grupo Sonangol, vocacionada para a prestacao de servicos de Telecomunicacao.",Portuguese,https://www.mstelcom.co.ao/#company,"state-owned oil company, Sonangol, can exert some control on the ICT sector through direct and indirect ownership of shares in internet and mobile service providers (ISPs). After the coverage period of this report, in August 2019, a plan for privatizing numerous state holdings, including telecoms, was laid out. MS Telecom, Net One, Unitel, TV Cabo Angola, and Multitel are to be privatized in 2020. (https://freedomhouse.org/country/angola/freedom-net/2019#footnote5_fbbhih8)",O,,,
36907,AO-ANGOLA-TELECOM,ORG-TCAL1-AFRINIC,TV CABO ANGOLA LDA,AO,Angola,AFRINIC,Company's website,"A TVCABO, marca pioneira na distribuicao de dados e conteúdos por cabo no continente africano, tem em Angola igual participacao de capital da Angola Telecom e do Grupo Visabeira, reconhecidos especialistas na area das telecomunicacoes. Usufruindo do know-how tecnologico destas duas entidades, e o unico operador de conteúdos e dados por cabo do pais disponibilizando, simultaneamente, televisão, internet e voz, com sinal inteiramente digital.",Portuguese,https://www.tvcabo.ao/residencial/empresa/sobre-nos,"After the coverage period of this report, in August 2019, a plan for privatizing numerous state holdings, including telecoms, was laid out. MS Telecom, Net One, Unitel, TV Cabo Angola, and Multitel are to be privatized in 2020. (https://freedomhouse.org/country/angola/freedom-net/2019#footnote5_fbbhih8)",E,,,
37586,BI-ONATEL,ORG-OA6-AFRINIC,ONATEL,BI,Burundi,AFRINIC,Company's website,L'Office National des Telecommunications ONATEL est une Entreprise Publique a caractere Industriel et Commercia,French,http://www.onatel.bi/onatel/presentation/,,"E, W",,,
37545,BI-BBS,ORG-BBSS1-AFRINIC,Burundi Backbone System SM,BI,Burundi,AFRINIC,World Bank,"On the other hand, the role of the state-owned incumbent, Onatel, in the Burundi Backbone System proved a major flaw. In January 2017, the government revoked BBS's PPP status and took it into government ownership",English,http://documents.worldbank.org/curated/en/674601544534500678/pdf/132845-7-12-2018-17-20-11-InnovativeBusinessModels.pdf,,G,,,
28683,BJ-BTSA,@aut-28683-RIPE,BENIN TELECOMS INFRASTRUCTURES SA,BJ,Benin,AFRINIC,World Bank,"Benin Telecoms SA (BTSA), the owner and operator of national and international connectivity was wholly state‐owned.",English,http://documents.worldbank.org/curated/en/661821517845162259/pdf/ICR00004377-CLEAN-01162018.pdf,,"G, E, W",,,
37678,BW-BOFINET,ORG-BFNL1-AFRINIC,BOTSWANA FIBRE NETWORKS (Proprietary) Limited,BW,Botswana,AFRINIC,Company's website,"With a strong focus on the responsibilities of a 100% wholly government owned organization, Botswana Fibre Networks holds a high regard for the social and livelihood issues and proactively takes part in community welfare on the back of our expertise and technical strengths",English,https://www.bofinet.co.bw/csr.php,,"G, E, W, O",,,
14988,BW-TELECOM,ORG-BTC2-AFRINIC,Botswana Telecommunications Corporation,BW,Botswana,AFRINIC,Company's annual report,The Government of Botswana remains the majority shareholder with a 54.16% shareholding.,English,http://www.btc.bw/themes/btc/assets/documents/Final%20BTC%202019%20Annual%20Report.pdf,,"G, E, W",,,
37451,CONGO-TELECOM,ORG-CT6-AFRINIC,CONGO TELECOM,CG,Congo,AFRINIC,Company's website,"Congo Telecom est une societe anonyme unipersonnelle avec un administrateur General, detenu par lEtat Congolais à 100%",French,http://www.congotelecom.cg/about.html,,"E, W, O",,,
15964,CM-CAMTEL,@aut-15964-RIPE,CAMTEL,CM,Cameroon,AFRINIC,Company's website,"Established in 1998, Camtel is wholly owned by the Government of Cameroon and serves its local high-tech, industrial and service sectors",English,https://www.fts-soft.com/company/success-stories/camtel-success-story/,,"G, E, W",,,
37517,CV-MULTIMEDIA,ORG-CMS1-AFRINIC,CV Multimedia SA,CV,Cabo Verde,AFRINIC,commsupdate,"Brazilian telco Oi's indirect subsidiary PT Ventures SGPS has sold and transferred its entire 40% stake in Cape Verde's largest telco Cabo Verde Telecom (CVT) to two Cape Verdean entities - the government-owned National Social Security Institute (Instituto Nacional de Previdencia Social, which already owned 37.9%) and public company ASA–National Airport and Aerial Security Company (ASA–Empresa Nacional de Aeroportos e Seguranca Aerea)",English,https://www.commsupdate.com/articles/2019/05/23/oi-sells-its-cvt-stake-to-local-buyers-for-usd26-3m/,,"G, E, W",,,
30990,DJ-TELECOM,ORG-DTS1-AFRINIC,DJIBOUTI TELECOM S.A.,DJ,Djibouti,AFRINIC,commsupdate,"Agence Ecofin writes that Weco Weco, a company which specialises in renewable energies, and telecoms equipment firm Telsam have signed a joint memorandum of understanding (MoU) with the government of Djibouti - represented by state-owned PTO Djibouti Telecom",English,https://www.commsupdate.com/articles/2019/03/26/weco-weco-telsam-ink-deal-with-djibouti-govt-to-deliver-data-centre/,,"G, E, W",,,
33774,DZ-TELECOM,ORG-TA23-AFRINIC,Telecom Algeria,DZ,Algeria,AFRINIC,commsupdate,"Algeria ICT minister Houda Imane Faraoun has revealed that the activities of state-owned companies Algerie Telecom (AT), Algerie Telecom Mobile (Mobilis) and Algerie Telecom Satellite (ATS) will now be managed by a new entity, Groupe Telecom Algerie (GTA), Huffpost Maghreb writes. The restructuring – which has been on the cards since 2014 – was reportedly approved last month by the Conseil des Participations de l'Etat (CPE), the agency managing the Algerian government's stake in state-owned business entities",English,https://www.commsupdate.com/articles/2017/05/02/algerian-ict-minister-announces-restructuring-of-at-mobilis-and-ats/,,"G, E, W",,,
36947,DZ-TELECOM,ORG-TA23-AFRINIC,Telecom Algeria,DZ,Algeria,AFRINIC,commsupdate,"Algeria ICT minister Houda Imane Faraoun has revealed that the activities of state-owned companies Algerie Telecom (AT), Algerie Telecom Mobile (Mobilis) and Algerie Telecom Satellite (ATS) will now be managed by a new entity, Groupe Telecom Algerie (GTA), Huffpost Maghreb writes. The restructuring – which has been on the cards since 2014 – was reportedly approved last month by the Conseil des Participations de l'Etat (CPE), the agency managing the Algerian government's stake in state-owned business entities",English,https://www.commsupdate.com/articles/2017/05/02/algerian-ict-minister-announces-restructuring-of-at-mobilis-and-ats/,,"G, E, W",,,
327712,DZ-TELECOM,ORG-TA23-AFRINIC,Telecom Algeria,DZ,Algeria,AFRINIC,commsupdate,"Algeria ICT minister Houda Imane Faraoun has revealed that the activities of state-owned companies Algerie Telecom (AT), Algerie Telecom Mobile (Mobilis) and Algerie Telecom Satellite (ATS) will now be managed by a new entity, Groupe Telecom Algerie (GTA), Huffpost Maghreb writes. The restructuring – which has been on the cards since 2014 – was reportedly approved last month by the Conseil des Participations de l'Etat (CPE), the agency managing the Algerian government's stake in state-owned business entities",English,https://www.commsupdate.com/articles/2017/05/02/algerian-ict-minister-announces-restructuring-of-at-mobilis-and-ats/,,"G, E, W",,,
327931,DZ-OPTIMUM,ORG-OTA3-AFRINIC,Optimum Telecom Algeria,DZ,Algeria,AFRINIC,Company's website,"En janvier 2015, le Fonds National doInvestissement (FNI) prend le contrôle de 51% du capital de la societe alors que le partenaire etranger, le Groupe Veon, garde la responsabilite du management de l'entreprise.",French,http://www.djezzy.dz/djezzy/nous-connaitre/a-propos-de-djezzy/,,E,,,
8452,EG-TE,@aut-8452-RIPE,TE-AS,EG,Egypt,AFRINIC,Company's annual report,Government: 80% (page 59),English,http://ircp.te.eg/IRMedia/Financial_Information/2019/Financial_Information95fb160d-b706-4edd-b322-e1bd3b25bc86.pdf,,"G, E, W, O",,,
30987,ER-ERITEL,ORG-ETSC1-AFRINIC,Eritrea Telecommunication Service corporation (EriTel),ER,Eritrea,AFRINIC,News,"State-owned EriTel is the sole provider of telecom services. The service it provides is bad, and tightly controlled by the government.",English,https://www.bbc.com/news/world-africa-49727573,,"G, E, W",,,
24757,ET-TELECOM,@aut-24757-RIPE,Ethio Telecom,ET,Ethiopia,AFRINIC,Freedom House,The Ethiopian government’s monopolistic control over the country’s telecommunications infrastructure via Ethio Telecom,English,https://freedomhouse.org/country/ethiopia/freedom-net/2019,,"G, E, W, O",,,
25250,GM-GAMTEL,@aut-25250-RIPE,Gamtel Co.,GM,Gambia,AFRINIC,Company's website,"The company is a state owned, limited liability company, with the Gambia government owning 99% of shares and Gambia Ports Authority (GPA) owning 1% of shares was incorporated under the Companies Act 1955 as amended under Cap. 95. 02 of the Laws of the Gambia 1990.",English,https://www.gamtel.gm/profile/,,"G, E, W, O",,,
328107,GN-GUILAB,ORG-GA8-AFRINIC,GUILAB SA,GN,Guinea,AFRINIC,Company's website,ETAT GUINEEN 52.55%,French,https://guilabgn.com/a-propos/partenariat-public-prive/,,G,,,
37529,GQ-GITGE,ORG-GDID1-AFRINIC,Gestora de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial,GQ,Equatorial Guinea,AFRINIC,Company's website,"El Ministerio de Transportes, Tecnología, Correos y Telecomunicaciones ha creado el Gestor de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial. Su creación se encuentra recogida en el Decreto 44/2011 según el cual se constituye el GITGE con el objeto de gestionar las infraestructuras de telecomunicaciones públicas desarrolladas por el Gobierno de Guinea Ecuatorial.",Spanish,http://www.gitge.com/en/quienes-somos/,,"G, E, W",,,
37173,GQ-GETESA,ORG-OGQ1-AFRINIC,GETESA (Orange Equatorial Guinea),GQ,Equatorial Guinea,AFRINIC,commsupdate,"Equatorial Guinea has announced the resolution of litigation begun in 2014 over Orange Group’s ownership stake in the incumbent fixed line and mobile operator Guinea Ecuatorial de Telecomunicaciones Sociedad Anonima (Getesa). Agence Ecofin cites a statement from the Equatorial Guinea Embassy in France, confirming that on 26 September 2018 the African country’s government signed an agreement with Orange Middle East & Africa under which it paid EUR50 million (USD57.5 million) to the French-based telecoms giant in return for relinquishing Getesa shares. The final payment followed Equatorial Guinea’s initial share payment to Orange of EUR45 million in October 2016, thereby settling the balance of an agreed EUR95 million redemption price for Orange's 40% stake.",English,https://www.commsupdate.com/articles/2018/10/08/equatorial-guinea-makes-final-payment-to-remove-orange-from-getesa-ownership/,"Orange Group reportedly criticised the state of Equatorial Guinea, with which it shares ownership of telecoms incumbent Orange Guinee Equatoriale (GETESA), in an arbitration case involving a fine of EUR132 million (USD163.5 million) plus interest from the Chamber of Commerce and Industry (CCI), reports Jeune Afrique. Orange has reportedly wanted to sell its 40% shares in GETESA since the state acquired 60% ownership of the telco in 2011 (https://www.commsupdate.com/articles/2014/11/24/orange-continues-getesa-dispute-with-government/)","G, E, W",,,
36939,KM-TELECOM,ORG-CT3-AFRINIC,Comores Telecom,KM,Comoros,AFRINIC,World Bank,"The country macroeconomic situation is closely related to future plans for the privatization of the historical operator, Comores Telecoms (CT",English,http://documents.worldbank.org/curated/en/162591538364631239/pdf/COMOROS-PADf-09112018.pdf,,"G, E, W",,,
